petition_serial,title,c
971,Immediately address the issue of gun control through the introduction of legislation in Congress.,5430
1006,We ask President Obama to support law abiding gun owners in this time of tragedy.,3254
1052,"Stop any legislation that will ban ""assualt weapons"", semi-automatic rifles or handguns and high capacity magazines.",1557
978,Today IS the day: Sponsor strict gun control laws in the wake of the CT school massacre,1228
997,Urge Congress to advance federal legislation banning the sale of assault rifles & high capacity magazines.,1108
974,Stronger Gun Control,1051
973,Set a date and time to have a conversation about gun policy in the United States.,748
980,A gun in every classroom. Arm every teacher and principal to defend themselves and their students during an attack.,714
985,Have armed security at all schools across the nation who are ex military from combat MOSs or combat proven.,610
1009,Dissolve any petitions on an Assault Weapons Ban as unconstitutional under amendment II  of the Constitution,501
996,Ensure the 2nd Amendment cant be infringed in anyway limiting citizens ability to defend against tyrannical governments.,467
982,Place Security Guards in Schools Nationwide:  The Safe & Sound Schools Initiative,437
1014,Establish federal gun control laws,436
977,"Seriously, respectfully and quickly work to end the violence committed by assault weapons.",433
1010,End the gun free zones and we the people demand a vote on the Citizens Protection Act H.R. 2613,352
1021,Immediately sign Executive Order banning sale of assault weapons and high-capacity magazines until Congress acts on this,347
970,Start the process to enact Federal Gun control reforms.,339
990,"Not punish the tens of millions of law-abiding gun owners with ineffective and unconstitutional ""assault weapons"" bans.",333
1025,Employ competent veterans as armed security guards for America's schools,257
1008,hire military veterans as armed resource officers in all public schools throughout America.,244
1029,Keep guns in America! No weapons ban!,201
993,petition the Congress and the States to REPEAL THE SECOND AMENDMENT.,195
972,begin a national conversation on sensible gun control.,193
976,create a national commission to review our gun laws and recommend legislation to address the epidemic of gun violence.,176
987,No more gun control.,172
1013,Allow individual School Districts and/or schools the ability to train staff to be School Marshalls.,153
1043,Place police officers and metal detectors in all of our schools.,107
1016,Stop Demonizing Guns,73
